OrdreOrig;Stimulus;Sequence;Liste tournante 5;Liste tournante 4
280;Adrien_ku-22bands-fc-128-NoiseCarrier.wav;Adrien_ku;5;1
281;Adrien_ko1-4bands-fc-128-NoiseCarrier.wav;Adrien_ko1;2;3
282;Adrien_ko1-8bands-fc-128-NoiseCarrier.wav;Adrien_ko1;3;4
283;Adrien_ko1-12bands-fc-128-NoiseCarrier.wav;Adrien_ko1;4;1
284;Adrien_ko1-16bands-fc-128-NoiseCarrier.wav;Adrien_ko1;5;2
285;Adrien_ko1-22bands-fc-128-NoiseCarrier.wav;Adrien_ko1;1;4
286;Adrien_ka~-4bands-fc-128-NoiseCarrier.wav;Adrien_ka~;3;1
287;Adrien_ka~-8bands-fc-128-NoiseCarrier.wav;Adrien_ka~;4;2
288;Adrien_ka~-12bands-fc-128-NoiseCarrier.wav;Adrien_ka~;5;3
289;Adrien_ka~-16bands-fc-128-NoiseCarrier.wav;Adrien_ka~;1;1
290;Adrien_ka~-22bands-fc-128-NoiseCarrier.wav;Adrien_ka~;2;2
291;Adrien_ko~-4bands-fc-128-NoiseCarrier.wav;Adrien_ko~;4;3
292;Adrien_ko~-8bands-fc-128-NoiseCarrier.wav;Adrien_ko~;5;4
293;Adrien_ko~-12bands-fc-128-NoiseCarrier.wav;Adrien_ko~;1;2
294;Adrien_ko~-16bands-fc-128-NoiseCarrier.wav;Adrien_ko~;2;3
295;Adrien_ko~-22bands-fc-128-NoiseCarrier.wav;Adrien_ko~;3;4
296;Adrien_ke~-4bands-fc-128-NoiseCarrier.wav;Adrien_ke~;5;1
297;Adrien_ke~-8bands-fc-128-NoiseCarrier.wav;Adrien_ke~;1;3
298;Adrien_ke~-12bands-fc-128-NoiseCarrier.wav;Adrien_ke~;2;4
299;Adrien_ke~-16bands-fc-128-NoiseCarrier.wav;Adrien_ke~;3;1
300;Adrien_ke~-22bands-fc-128-NoiseCarrier.wav;Adrien_ke~;4;2
301;Adrien_mi-4bands-fc-128-NoiseCarrier.wav;Adrien_mi;1;4
302;Adrien_mi-8bands-fc-128-NoiseCarrier.wav;Adrien_mi;2;1
303;Adrien_mi-12bands-fc-128-NoiseCarrier.wav;Adrien_mi;3;2
304;Adrien_mi-16bands-fc-128-NoiseCarrier.wav;Adrien_mi;4;3
305;Adrien_mi-22bands-fc-128-NoiseCarrier.wav;Adrien_mi;5;1
306;Adrien_me-4bands-fc-128-NoiseCarrier.wav;Adrien_me;2;2
307;Adrien_me-8bands-fc-128-NoiseCarrier.wav;Adrien_me;3;3
308;Adrien_me-12bands-fc-128-NoiseCarrier.wav;Adrien_me;4;4
309;Adrien_me-16bands-fc-128-NoiseCarrier.wav;Adrien_me;5;2
310;Adrien_me-22bands-fc-128-NoiseCarrier.wav;Adrien_me;1;3
311;Adrien_ma-4bands-fc-128-NoiseCarrier.wav;Adrien_ma;3;4
312;Adrien_ma-8bands-fc-128-NoiseCarrier.wav;Adrien_ma;4;1
313;Adrien_ma-12bands-fc-128-NoiseCarrier.wav;Adrien_ma;5;3
314;Adrien_ma-16bands-fc-128-NoiseCarrier.wav;Adrien_ma;1;4
315;Adrien_ma-22bands-fc-128-NoiseCarrier.wav;Adrien_ma;2;1
316;Adrien_my-4bands-fc-128-NoiseCarrier.wav;Adrien_my;4;2
317;Adrien_my-8bands-fc-128-NoiseCarrier.wav;Adrien_my;5;4
318;Adrien_my-12bands-fc-128-NoiseCarrier.wav;Adrien_my;1;1
